boletim_id,bidding_id,edital,data_abertura,valor_estimado,cidade,estado,descricao
134004930,18446210,DL/9/2025,,,Coração de Jesus,MG,"PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE MANUTENÇÃO DE EQUIPAMENTOS MÉDICOS, PARA A REALIZAÇÃO DE MANUTENÇÃO PREVENTIVA, CORRETIVA, CALIBRAÇÃO, REPOSIÇÃO DE PEÇAS E ACESSÓRIOS EM EQUIPAMENTOS MÉDICO HOSPITALARES RELAÇÃO ABAIXO, POR UM PERÍODO DE 12 DOZE MESES. * https://licitar.digital * Lote: 1 - Descrição: PRESTACAO DE SERVICOS CONTINUOS DE MANUTENCAO DE EQUIPAMENTOS MEDICOS, PARA A REALIZACAO DE MANUTENCAO PREVENTIVA, CORRETIVA, CALIBRACAO, REPOSICAO DE PECAS E ACESSORIOS EM EQUIPAMENTOS MEDICO HOSPITALARES.
 "
134004930,18446615,PE/91530/2025,,"R$ 800.995,70",Fortaleza,CE,"* Licitação Eletrônica * O objeto da licitação é a prestação do serviço médico-hospitalar para a realização de sessões de tratamento de quimioterapia, conforme prescrição constante no relatório médico, em cumprimento à determinação judicial n 3041474-78.2025.8.06.0001 nas condições estabelecidas neste edital e seus anexos. 1 - Quimioterapia do Câncer - Tratamento em Paciente Internados
 
 "
134004930,18446612,PE/91537/2025,,"R$ 46.154,20",Fortaleza,CE,"* Licitação Eletrônica * O objeto da licitação é a prestação de SERVIÇO MÉDICO-HOSPITALAR PARA A REALIZAÇÃO DO PROCEDIMENTO DE ATERECTOMIA PERCUTÂNEA ORIENTADA POR RX, BEM COMO O FORNECIMENTO DOS INSUMOS NECESSÁRIOS À EXECUÇÃO DO ATO CIRÚRGICO, conforme prescrição médica, em cumprimento à determinação judicial n 3055891-36.2025.8.06.0001, nas condições estabelecidas neste edital e seus anexos. 1 - Aterectomia Percutânea
 
 "
134004930,18446227,SM/39/2025,,,Simolândia,GO,"CREDENCIAMENTO E POSTERIOR CONTRATAÇÃO PARA PRESTAÇÃO DE SERVIÇO POR PESSOAS JURÍDICAS, SENDO PLATAFORMA ONLINE EM TELEMEDICINA PARA CONSULTA MÉDICA À DISTÂNCIA, POR MEIO DE ATENDIMENTO DE PLANTÃO CLÍNICO GERAL E PEDIATRIA E AMBULATORIAL DEMAIS ESPECIALIDADES MÉDICAS, CONFORME DESCRITOS NO ANEXO I DESTE EDITAL, A FIM DE ATENDER AS NECESSIDADES DO FUNDO MUNICIPAL DE SAÚDE DO MUNICÍPIO DE SIMOLÂNDIA/GO. 39770 - PEDIATRIA ELETIVA - qnt: 1
 39771 - CLÍNICA MÉDICA ELETIVA - qnt: 1
